,State,County,Income
3171,Puerto Rico,Guayama Municipio,15296
3172,Puerto Rico,Guayanilla Municipio,14988
3173,Puerto Rico,Guaynabo Municipio,34060
3174,Puerto Rico,Gurabo Municipio,32625
3175,Puerto Rico,Hatillo Municipio,17770
3176,Puerto Rico,Hormigueros Municipio,19674
3177,Puerto Rico,Humacao Municipio,18735
3178,Puerto Rico,Isabela Municipio,16333
3179,Puerto Rico,Jayuya Municipio,15615
3180,Puerto Rico,Juana Díaz Municipio,20228
3181,Puerto Rico,Juncos Municipio,18533
3182,Puerto Rico,Lajas Municipio,13896
3183,Puerto Rico,Lares Municipio,12820
3184,Puerto Rico,Las Marías Municipio,14404
3185,Puerto Rico,Las Piedras Municipio,20587
3186,Puerto Rico,Loíza Municipio,17273
3187,Puerto Rico,Luquillo Municipio,19377
3188,Puerto Rico,Manatí Municipio,18191
3189,Puerto Rico,Maricao Municipio,13462
3190,Puerto Rico,Maunabo Municipio,17636
3191,Puerto Rico,Mayagüez Municipio,14642
3192,Puerto Rico,Moca Municipio,13413
3193,Puerto Rico,Morovis Municipio,18739
3194,Puerto Rico,Naguabo Municipio,18976
3195,Puerto Rico,Naranjito Municipio,18069
3196,Puerto Rico,Orocovis Municipio,14296
3197,Puerto Rico,Patillas Municipio,14512
3198,Puerto Rico,Peñuelas Municipio,16868
3199,Puerto Rico,Ponce Municipio,16561
3200,Puerto Rico,Quebradillas Municipio,16082
3201,Puerto Rico,Rincón Municipio,18292
3202,Puerto Rico,Río Grande Municipio,22584
3203,Puerto Rico,Sabana Grande Municipio,15736
3204,Puerto Rico,Salinas Municipio,16246
3205,Puerto Rico,San Germán Municipio,15036
3206,Puerto Rico,San Juan Municipio,21677
3207,Puerto Rico,San Lorenzo Municipio,18589
3208,Puerto Rico,San Sebastián Municipio,14275
3209,Puerto Rico,Santa Isabel Municipio,16816
3210,Puerto Rico,Toa Alta Municipio,29672
3211,Puerto Rico,Toa Baja Municipio,24583
3212,Puerto Rico,Trujillo Alto Municipio,31202
3213,Puerto Rico,Utuado Municipio,15931
3214,Puerto Rico,Vega Alta Municipio,18053
3215,Puerto Rico,Vega Baja Municipio,18900
3216,Puerto Rico,Vieques Municipio,16261
3217,Puerto Rico,Villalba Municipio,19893
3218,Puerto Rico,Yabucoa Municipio,15586
3219,Puerto Rico,Yauco Municipio,14451
