Notes,County,State,FIPS,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,Coffee County, TN,47031,12,54682,Unreliable,11.3,38.3,6.3,0.00%
,Cumberland County, TN,47035,18,58655,Unreliable,18.2,48.5,7.2,0.00%
,Davidson County, TN,47037,110,684410,16.1,13.1,19.1,1.5,0.20%
,Dickson County, TN,47043,10,52170,Unreliable,9.2,35.3,6.1,0.00%
,Gibson County, TN,47053,11,49401,Unreliable,11.1,39.8,6.7,0.00%
,Giles County, TN,47055,12,29307,Unreliable,21.2,71.5,11.8,0.00%
,Greene County, TN,47059,12,68615,Unreliable,9,30.5,5,0.00%
,Hamblen County, TN,47063,21,63785,32.9,20.4,50.3,7.2,0.00%
,Hamilton County, TN,47065,42,357738,11.7,8.5,15.9,1.8,0.10%
,Henry County, TN,47079,10,32310,Unreliable,14.8,56.9,9.8,0.00%
,Knox County, TN,47093,72,456132,15.8,12.4,19.9,1.9,0.20%
,Madison County, TN,47113,15,97663,Unreliable,8.6,25.3,4,0.00%
,Maury County, TN,47119,15,89981,Unreliable,9.3,27.5,4.3,0.00%
,Monroe County, TN,47123,13,45970,Unreliable,15.1,48.4,7.8,0.00%
,Montgomery County, TN,47125,30,195734,15.3,10.3,21.9,2.8,0.10%
,Putnam County, TN,47141,24,75931,31.6,20.3,47,6.5,0.10%
,Roane County, TN,47145,12,52874,Unreliable,11.7,39.6,6.6,0.00%
,Robertson County, TN,47147,13,69165,Unreliable,10,32.1,5.2,0.00%
,Rutherford County, TN,47149,42,308251,13.6,9.8,18.4,2.1,0.10%
,Sevier County, TN,47155,20,96673,20.7,12.6,32,4.6,0.00%
,Shelby County, TN,47157,82,934603,8.8,7,10.9,1,0.20%
,Sullivan County, TN,47163,33,156667,21.1,14.5,29.6,3.7,0.10%
,Sumner County, TN,47165,41,180063,22.8,16.3,30.9,3.6,0.10%
,Tipton County, TN,47167,14,61303,Unreliable,12.5,38.3,6.1,0.00%
,Washington County, TN,47179,20,127440,15.7,9.6,24.2,3.5,0.00%
,Williamson County, TN,47187,21,219107,9.6,5.9,14.7,2.1,0.00%
,Wilson County, TN,47189,21,132781,15.8,9.8,24.2,3.5,0.00%
,Anderson County, TX,48001,16,57734,Unreliable,15.8,45,6.9,0.00%
,Bastrop County, TX,48021,10,82733,Unreliable,5.8,22.2,3.8,0.00%
,Bell County, TX,48027,53,340411,15.6,11.7,20.4,2.1,0.10%
,Bexar County, TX,48029,230,1928680,11.9,10.4,13.5,0.8,0.50%
,Bowie County, TX,48037,16,93860,Unreliable,9.7,27.7,4.3,0.00%
,Brazoria County, TX,48039,35,354195,9.9,6.9,13.7,1.7,0.10%
,Brazos County, TX,48041,20,220417,9.1,5.5,14,2,0.00%
,Cameron County, TX,48061,27,422135,6.4,4.2,9.3,1.2,0.10%
,Collin County, TX,48085,100,939585,10.6,8.6,12.7,1.1,0.20%
,Comal County, TX,48091,25,134788,18.5,12,27.4,3.7,0.10%
,Coryell County, TX,48099,17,74686,Unreliable,13.3,36.4,5.5,0.00%
,Dallas County, TX,48113,263,2574984,10.2,9,11.4,0.6,0.60%
