Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,AUS,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.73209846,16.73600354,16.73990862,16.7438137,16.74771878,16.75162386,16.75552894,16.75943402,16.7633391,16.76724418,16.77114927,16.73990862,16.70866798,16.67742733,16.64618669,16.61494604,16.499616,16.38428596,16.26895591,16.15362587,16.03829582,16.07838798,16.11848014,16.1585723,16.19866446,16.23875662,16.25827806,,
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.72535723,45.80043535,45.87551347,45.95059455,46.02567267,46.10075079,46.17582891,46.25090703,46.3259881,46.40106622,46.47614434,46.50763015,46.539113,46.5705988,46.60208165,46.63356745,46.65536509,46.67829433,46.70008953,46.7218877,46.74764969,46.77511454,46.80088082,46.83573548,46.86208745,46.88390014,46.90571284,,
Azerbaijan,AZE,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23829266,10.2839564,10.28395602,10.30798957,10.33202312,10.35605667,10.38009022,10.40412377,10.44384498,10.51689726,10.55384042,10.56704232,10.57832485,10.58703912,10.59754178,10.61214629,10.93239059,11.25077117,11.56837308,11.88642243,12.19875188,12.5156675,12.83287783,13.14992813,13.46648537,13.78367651,14.09967334,,
Burundi,BDI,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25389408,10.89953247,10.54517086,10.19081044,9.836448836,9.482087227,9.127725619,8.773364605,8.419002996,8.064641982,7.710280374,7.577881858,7.445482747,7.313084231,7.180685121,7.048286604,7.60903403,8.16978205,8.730529476,9.291277496,9.852024922,10.03115289,10.21028085,10.38940762,10.56853559,10.74766355,10.92679151,,
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.03764821,22.08322301,22.12879781,22.1743726,22.2199474,22.2655222,22.31175613,22.35799207,22.40422802,22.45046195,22.49669789,22.51122902,22.52576014,22.54029127,22.55482239,22.56935351,22.58388464,,
Benin,BEN,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.09081234,50.47002483,49.84923732,49.2284498,48.60766229,47.98687478,47.36608726,46.74529975,46.12451224,45.50372473,44.88293721,44.43951756,43.99609791,43.55267825,43.1092586,42.66583895,42.2224193,41.77899965,41.33557999,40.89216034,40.44874069,40.00532104,39.56190138,39.11848173,38.67506208,38.23164243,37.78822277,,
Burkina Faso,BFA,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0255848,24.8066524,24.58772001,24.36878584,24.14985344,23.93092105,23.71198866,23.49305627,23.27412209,23.0551897,22.83625731,22.61769077,22.39912245,22.18055591,21.96198759,21.74342105,21.52412281,21.30482456,21.08552632,20.86622807,20.64692982,20.42836329,20.20979496,19.99122843,19.7726601,19.55409357,19.33552703,,
Bangladesh,BGD,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.47729892,11.45732522,11.43735153,11.4173769,11.39740321,11.37742952,11.35745582,11.33748213,11.3175075,11.29753381,11.27756011,11.25758642,11.23761273,11.2176381,11.1976644,11.17769071,11.15771702,11.13774333,11.1177687,11.097795,11.07782131,11.05784762,11.03787393,11.01789929,10.9979256,10.97795191,10.95797822,,
Bulgaria,BGR,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.07321703,30.11660534,30.15999365,30.20337976,30.24676807,30.29015638,30.33354469,30.376933,30.4203191,30.46370741,30.50709572,31.00605578,32.03492557,32.55125584,33.06178787,33.60640648,33.76783532,33.93241785,34.09078444,34.26492307,34.42336035,34.58179763,34.74023491,34.89867444,35.05711172,35.21554901,35.37398629,,
Bahrain,BHR,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318840578,0.333333339,0.352112676,0.36619717,0.394366199,0.408450692,0.436619722,0.450704215,0.478873244,0.507042274,0.521126767,0.549295754,0.56338029,0.583333315,0.589041106,0.608108092,0.621621633,0.639999986,0.644736855,0.671052619,0.695538048,0.704041777,0.72727273,0.740259731,0.765239929,0.771208227,0.784061684,,
