ANLY_CN,DADA_CN,ESUN_CN,H,ANLY_DESCR,DADA_DESCR,ESTN_SCOPE,SAMP_METH,EXPNS,W_H,N_PRIME_H,N_PRIME,N_H,N,A_T,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE
376862523489998,376861398489998,376862184489998,376849152489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451501: SOUTH CAROLINA 2015: 2009-2015: CURRENT AREA, CURRENT VOLUME,SAMP AREA,post-stratification,6139.29285457158,0.37397985214282,,,336,924,5515811.58,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861398489998,376862184489998,376849154489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451501: SOUTH CAROLINA 2015: 2009-2015: CURRENT AREA, CURRENT VOLUME,SAMP AREA,post-stratification,6068.38948554131,0.238739213488954,,,217,924,5515811.58,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861398489998,376862184489998,376849155489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451501: SOUTH CAROLINA 2015: 2009-2015: CURRENT AREA, CURRENT VOLUME,SAMP AREA,post-stratification,5757.8670148288,0.387280934368227,,,371,924,5515811.58,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861398489998,376862185489998,376849156489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451501: SOUTH CAROLINA 2015: 2009-2015: CURRENT AREA, CURRENT VOLUME,SAMP AREA,post-stratification,5885.17528735243,0.236791613586992,,,316,1315,7853805.98,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451501: SOUTH CAROLINA 2015: 2009-2015: CURRENT AREA, CURRENT VOLUME,SAMP AREA,post-stratification,6452.52530489632,0.18485536786862,,,225,1315,7853805.98,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861398489998,376862185489998,376849158489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451501: SOUTH CAROLINA 2015: 2009-2015: CURRENT AREA, CURRENT VOLUME,SAMP AREA,post-stratification,6196.04438580702,0.198019551895979,,,251,1315,7853805.98,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861398489998,376862185489998,376849159489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451501: SOUTH CAROLINA 2015: 2009-2015: CURRENT AREA, CURRENT VOLUME,SAMP AREA,post-stratification,5711.40584083632,0.380333466648408,,,523,1315,7853805.98,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861398489998,376862186489998,376849164489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451501: SOUTH CAROLINA 2015: 2009-2015: CURRENT AREA, CURRENT VOLUME,SAMP AREA,post-stratification,2192.25075041057,0.347448656411167,,,100,287,630956.75,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861398489998,376862186489998,376849165489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451501: SOUTH CAROLINA 2015: 2009-2015: CURRENT AREA, CURRENT VOLUME,SAMP AREA,post-stratification,2228.48685808059,0.332000195987405,,,94,287,630956.75,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861398489998,376862186489998,376849166489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451501: SOUTH CAROLINA 2015: 2009-2015: CURRENT AREA, CURRENT VOLUME,SAMP AREA,post-stratification,2174.77322902545,0.320551147601428,,,93,287,630956.75,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861398489998,376862187489998,376849160489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451501: SOUTH CAROLINA 2015: 2009-2015: CURRENT AREA, CURRENT VOLUME,SAMP AREA,post-stratification,5802.88389756469,0.319976856815764,,,358,1089,6492445.91,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861398489998,376862187489998,376849162489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451501: SOUTH CAROLINA 2015: 2009-2015: CURRENT AREA, CURRENT VOLUME,SAMP AREA,post-stratification,6569.37783361896,0.221595029901844,,,219,1089,6492445.91,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861398489998,376862187489998,376849163489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451501: SOUTH CAROLINA 2015: 2009-2015: CURRENT AREA, CURRENT VOLUME,SAMP AREA,post-stratification,5813.12447091658,0.458428113282393,,,512,1089,6492445.91,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861399489998,376862262489998,376849167489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451503: SOUTH CAROLINA 2015: 2002-2011 to 2009-2015: AREA CHANGE, GROWTH, REMOVALS, MORTALITY,RESAMP AREA,post-stratification,6139.29285457158,0.37397985214282,,,336,922,5515811.58,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861399489998,376862262489998,376849169489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451503: SOUTH CAROLINA 2015: 2002-2011 to 2009-2015: AREA CHANGE, GROWTH, REMOVALS, MORTALITY,RESAMP AREA,post-stratification,6096.4838813077,0.238739213488954,,,216,922,5515811.58,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861399489998,376862262489998,376849170489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451503: SOUTH CAROLINA 2015: 2002-2011 to 2009-2015: AREA CHANGE, GROWTH, REMOVALS, MORTALITY,RESAMP AREA,post-stratification,5773.42881757158,0.387280934368227,,,370,922,5515811.58,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861399489998,376862263489998,376849171489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451503: SOUTH CAROLINA 2015: 2002-2011 to 2009-2015: AREA CHANGE, GROWTH, REMOVALS, MORTALITY,RESAMP AREA,post-stratification,5903.85838350276,0.236791613586992,,,315,1311,7853805.98,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861399489998,376862263489998,376849172489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451503: SOUTH CAROLINA 2015: 2002-2011 to 2009-2015: AREA CHANGE, GROWTH, REMOVALS, MORTALITY,RESAMP AREA,post-stratification,6481.33122143603,0.18485536786862,,,224,1311,7853805.98,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861399489998,376862263489998,376849173489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451503: SOUTH CAROLINA 2015: 2002-2011 to 2009-2015: AREA CHANGE, GROWTH, REMOVALS, MORTALITY,RESAMP AREA,post-stratification,6220.82856335025,0.198019551895979,,,250,1311,7853805.98,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861399489998,376862263489998,376849174489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451503: SOUTH CAROLINA 2015: 2002-2011 to 2009-2015: AREA CHANGE, GROWTH, REMOVALS, MORTALITY,RESAMP AREA,post-stratification,5722.34723133601,0.380333466648408,,,522,1311,7853805.98,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861399489998,376862264489998,376849179489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451503: SOUTH CAROLINA 2015: 2002-2011 to 2009-2015: AREA CHANGE, GROWTH, REMOVALS, MORTALITY,RESAMP AREA,post-stratification,5219.64464383469,0.347448656411167,,,42,107,630956.75,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861399489998,376862264489998,376849180489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451503: SOUTH CAROLINA 2015: 2002-2011 to 2009-2015: AREA CHANGE, GROWTH, REMOVALS, MORTALITY,RESAMP AREA,post-stratification,6546.18014561175,0.332000195987405,,,32,107,630956.75,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861399489998,376862264489998,376849181489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451503: SOUTH CAROLINA 2015: 2002-2011 to 2009-2015: AREA CHANGE, GROWTH, REMOVALS, MORTALITY,RESAMP AREA,post-stratification,6128.9063727081,0.320551147601428,,,33,107,630956.75,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861399489998,376862265489998,376849175489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451503: SOUTH CAROLINA 2015: 2002-2011 to 2009-2015: AREA CHANGE, GROWTH, REMOVALS, MORTALITY,RESAMP AREA,post-stratification,5802.88389756469,0.319976856815764,,,358,1087,6492445.91,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861399489998,376862265489998,376849177489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451503: SOUTH CAROLINA 2015: 2002-2011 to 2009-2015: AREA CHANGE, GROWTH, REMOVALS, MORTALITY,RESAMP AREA,post-stratification,6599.51259432363,0.221595029901844,,,218,1087,6492445.91,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
376862523489998,376861399489998,376862265489998,376849178489998,SOUTH CAROLINA 2015: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY,451503: SOUTH CAROLINA 2015: 2002-2011 to 2009-2015: AREA CHANGE, GROWTH, REMOVALS, MORTALITY,RESAMP AREA,post-stratification,5824.50044835477,0.458428113282393,,,511,1087,6492445.91,LOGIN_DATIM,2/1/2017 2:04:56 PM,195144
