RECO_CN,ANLY_CN,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
6806114195144,376862523489998,LOGIN_DATIM,7/23/2019 1:32:55 PM,195144,,,
3082782195144,376862523489998,LOGIN_DATIM,7/10/2017 1:28:17 PM,195144,,,
3082783195144,376862523489998,LOGIN_DATIM,7/10/2017 1:28:17 PM,195144,,,
3082842195144,376862523489998,LOGIN_DATIM,7/10/2017 6:37:38 PM,195144,,,
3082843195144,376862523489998,LOGIN_DATIM,7/10/2017 6:37:43 PM,195144,,,
3084454195144,376862523489998,LOGIN_DATIM,7/14/2017 5:08:31 PM,195144,,,
3084455195144,376862523489998,LOGIN_DATIM,7/14/2017 5:08:31 PM,195144,,,
3406460195144,376862523489998,LOGIN_DATIM,2/8/2019 11:31:06 AM,195144,,,
3146961195144,376862523489998,LOGIN_DATIM,8/28/2017 5:08:20 PM,195144,,,
3146962195144,376862523489998,LOGIN_DATIM,8/28/2017 5:08:20 PM,195144,,,
3146861195144,376862523489998,LOGIN_DATIM,8/28/2017 12:51:24 PM,195144,,,
3146862195144,376862523489998,LOGIN_DATIM,8/28/2017 12:51:25 PM,195144,,,
3146942195144,376862523489998,LOGIN_DATIM,8/28/2017 3:36:17 PM,195144,,,
3146943195144,376862523489998,LOGIN_DATIM,8/28/2017 3:36:17 PM,195144,,,
3147074195144,376862523489998,LOGIN_DATIM,8/29/2017 1:16:06 PM,195144,,,
3147075195144,376862523489998,LOGIN_DATIM,8/29/2017 1:16:06 PM,195144,,,
3168579195144,376862523489998,LOGIN_DATIM,10/31/2017 12:38:32 PM,195144,,,
3168581195144,376862523489998,LOGIN_DATIM,10/31/2017 12:38:32 PM,195144,,,
3168586195144,376862523489998,LOGIN_DATIM,10/31/2017 12:47:40 PM,195144,,,
3297955195144,376862523489998,LOGIN_DATIM,2/5/2019 1:46:30 PM,195144,,,
3297956195144,376862523489998,LOGIN_DATIM,2/5/2019 1:46:31 PM,195144,,,
